packet_id,item_id,sku_id,core_item_id,Qty,item_status,order_status,is_shipped,is_realised,is_delivered,fr_is_refunded,order_delivered_date,return_status,payment_method,article_type,master_category,brand,gender,tax,tax_rate,igst_rate,cgst_rate,sgst_rate,location_type,order_created_date,order_packed_date,order_shipped_date,fr_refunded_date,fr_restocked_date,return_status_display_name,last_modified_on,Delivery_State,Seller_state_Code,warehouse_id,warehouse_name,exchange_ID,refund_mode,warehouse_pincode,customer_pincode,foci_warehouse_id,state,dm_warehouse_pincode,warehouse_city,lmc_warehouse_id,row_num,MRP,shipment_value,item_revenue_inc_cashback,shipping_charges,gift_charges,GiftCard,phonepe,loyalty_pts_used,cashback,Instant_Cashback,myntra_credits,Mynts,fr_refund_amount,TCS,seller_name,Net_Amount,certificateNumber,Seller_GSTIN,Shipping_case,Tax_Seller_GSTIN,base_amount,tds_rate,tcs_amount,tds_amount,cgst_tcs_amount,sgst_tcs_amount,igst_tcs_amount
7950095119,9950074011,75347318,,1,C,C,1,1,1,1,20240605,DLS,on,Saree Blouse,Apparel,Molcha,Women,1.135513,5,5,0,0,,20240604,20240604,20240604,20240608,19700101,Delivered to Seller,02:15.0,HARYANA,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,122011,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,868,0,0,0,0,0,0,0,250.22,0,868,8.266666667,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
7959382771,9959361674,53563460,,1,C,C,1,1,1,1,20240613,DLS,on,Saree Blouse,Apparel,Molcha,Women,0.902007,5,5,0,0,,20240608,20240610,20240611,20240617,19700101,Delivered to Seller,51:07.0,GUJARAT,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,392130,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,965,0,0,0,0,0,0,0,0,0,965,9.19047619,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
7946196831,9946175718,53440937,,1,C,C,1,1,1,1,20240605,DLS,on,Saree Blouse,Apparel,Molcha,Women,2.386201,12,12,0,0,,20240602,20240603,20240604,20240611,19700101,Delivered to Seller,28:48.0,HARYANA,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,122011,5212,DELHI,110070,NEW DELHI,5212,1,3000,1650,1650,0,0,0,0,0,0,0,0,0,1650,14.73214286,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,1473.21,0.01,14.73,14.73,0,0,14.73
7950001867,9949980759,66534986,,1,C,C,1,1,1,1,20240605,DLS,on,Saree Blouse,Apparel,Molcha,Women,3.05,5,0,2.5,2.5,,20240604,20240604,20240604,20240616,19700101,Delivered to Seller,27:56.0,DELHI,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,110017,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,965,0,0,0,0,0,0,0,0,0,965,9.19047619,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Local,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,4.595,4.595,0
7945690200,9945669087,66970898,,1,C,C,1,1,1,1,20240607,DLS,on,Dresses,Apparel,Molcha,Women,2.080405,12,12,0,0,,20240602,20240603,20240604,20240617,19700101,Delivered to Seller,51:07.0,CHHATISHGARH,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,MYNTCREDIT,110070,497001,5212,DELHI,110070,NEW DELHI,5212,1,3000,1650,1402,0,0,0,0,0,0,0,716.04,0,1402,12.51785714,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,1473.21,0.01,14.73,14.73,0,0,14.73
7926364076,9926342938,66970814,,1,C,C,1,1,1,1,20240531,DLS,on,Dresses,Apparel,Molcha,Women,0.324903,12,12,0,0,,20240526,20240527,20240528,20240601,19700101,Delivered to Seller,24:48.0,KARNATAKA,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,560043,5212,DELHI,110070,NEW DELHI,5212,1,3000,1650,1650,0,0,0,0,0,0,0,0,0,1650,14.73214286,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,1473.21,0.01,14.73,14.73,0,0,14.73
7975157914,9975136851,94164914,,1,C,C,1,1,1,1,20240622,RL,on,Saree Blouse,Apparel,Molcha,Women,3.05,5,5,0,0,,20240619,20240620,20240621,20240625,19700101,,41:42.0,RAJASTHAN,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,301019,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,965,0,0,0,0,0,0,0,0,0,965,9.19047619,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
7937631155,9937610033,64627070,,1,C,C,1,1,1,1,20240602,DLS,on,Saree Blouse,Apparel,Molcha,Women,0.63042,12,12,0,0,,20240531,20240531,20240601,20240608,19700101,Delivered to Seller,07:34.0,HARYANA,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,132103,5212,DELHI,110070,NEW DELHI,5212,1,4000,1840,1677,0,0,0,0,0,0,174.46,0,0,1677,14.97321429,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,1642.85,0.01,16.42,16.42,0,0,16.42
7948230997,9948209887,76318434,,1,C,C,1,1,1,1,20240606,DLS,on,Salwar,Apparel,Molcha,Women,0.842372,5,5,0,0,,20240603,20240604,20240605,20240607,19700101,Delivered to Seller,48:15.0,UTTAR PRADESH,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,226029,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,965,0,0,0,0,0,0,0,0,0,965,9.19047619,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
7962401176,9962380082,88861260,,1,C,C,1,1,1,1,20240613,DLS,on,Skirts,Apparel,Molcha,Women,0.834402,5,5,0,0,,20240609,20240610,20240611,20240615,19700101,Delivered to Seller,41:34.0,MADHYA PRADESH,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,456010,5212,DELHI,110070,NEW DELHI,5212,1,999,499,499,0,0,0,0,0,0,0,0,0,499,4.752380952,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,475.23,0.01,4.75,4.75,0,0,4.75
9559858397,9971965056,64441490,,1,C,C,1,1,1,1,20240618,DLS,on,Saree Blouse,Apparel,Molcha,Women,0.864136,5,5,0,0,,20240616,20240617,20240618,20240620,19700101,Delivered to Seller,50:21.0,UTTAR PRADESH,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,201014,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,965,0,0,0,0,0,0,0,75.49,0,965,9.19047619,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
9550189169,9941998693,86874890,,1,C,C,1,1,1,1,20240605,DLS,on,Saree Blouse,Apparel,Molcha,Women,0.339749,5,5,0,0,,20240601,20240601,20240604,20240606,19700101,Delivered to Seller,48:13.0,HARYANA,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,122004,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,853,0,0,0,0,0,0,85.22,0,0,853,8.123809524,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
7959187052,9959165955,94164946,,1,C,C,1,1,1,1,20240612,DLS,on,Saree Blouse,Apparel,Molcha,Women,0,5,5,0,0,,20240608,20240608,20240610,20240615,19700101,Delivered to Seller,09:47.0,UTTAR PRADESH,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,208002,5212,DELHI,110070,NEW DELHI,5212,1,2099,965,965,0,0,0,0,0,0,0,0,0,965,9.19047619,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Interstate,07AAMPM7556K1Z1,919.04,0.01,9.19,9.19,0,0,9.19
7974699530,9974678460,93368190,,1,C,C,1,1,1,1,20240620,DLS,on,Co-Ords,Apparel,Molcha,Women,2.460539,12,0,6,6,,20240619,20240619,20240620,20240621,19700101,Delivered to Seller,33:22.0,DELHI,DELHI,5212,STEP BY STEP CREATIONS  PPMP,,OR,110070,110021,5212,DELHI,110070,NEW DELHI,5212,1,2499,1749,1749,0,0,0,0,0,0,0,0,0,1749,15.61607143,STEP BY STEP CREATIONS,,,07AAMPM7556K1Z1,Local,07AAMPM7556K1Z1,1561.6,0.01,15.61,15.61,7.805,7.805,0
